Twitter Shorthand,Meaning
CIO,check it out
CITA,caught in the act
CL,chain letter/Craig’s List
CLD,could
CLK,click
CLM,career limiting move
CM,call me
CMAR,cry me a river
CMB,call me back
CMEO,crying my eyes out
CMI,count me in
CMIIW,correct me if I’m wrong
CML,call me later
CMN,come on
CMNT or CMT,comment
CMU,cracks me up
CNP,continued in next post
COL,crying out loud
COP,officer of the law/close of play
COS or COZ,because
CP,Child Pornography
CQB,close quarters battle
CRB,come right back
CRBT,crying really big tears
CRC,chat room chuckle
CRE8,create
CRUNK,crazy and drunk
CSA,cheap shot artist
CSL,can’t stop laughing
CTM,chuckling to myself
CTN,can't talk now
CTO,check this out
CTRN,can't talk right now
CTS,chuckles to self
CU,see you
CUIAB,see you in a bit
CUL,see you later
CUL8ER or CUL8R,see you later
CUS,see you soon/friend
CUT,see you tomorrow
CUZ,because
CWOT,complete waste of time
CWTCU,can't wait to see you
CWTSY,can't wait to see you
CWYL,chat with you later
CYA,see ya/cover you’re a**
CYB,count your blessings
CYBI,can you believe it?
CYE,check your email
CYL,catch you later
CYL8R,see you later
CYM,check you mail
CYO,see you online
CYT,see you tomorrow
D&M,deep and meaningful
D/C,disconnected
D2M,dead to me
D8,date
DA,the
DADT,"don’t ask, don’t tell"
DAE,does anybody else…?
DAM,don't ask me
DAMHIK (T),don't ask me how I know (this/that)
DAQ,don't ask questions
DB,douche bag
DBA,doing business as
DBI,douche bag index
DBNT,don't bother next tie
DBR,damaged beyond repair
DC,don't care
DCOI,don't count on it
DDB,"deaf, dumb, blind"
DDF,drug and disease free
DDI,don't do it
DDT,don't do that
DEAR,drop everything and read
DEB,don't even bother
DEETS,details
DEGT,don't even go there
DETAI,don't even think about it
DEU,defective end user
DFLA,disenhanced four-letter acronym (meaning it’s a TLA)
DFS,dating for sport
DFTBA,don't forget to be awesome
DFTT,don't feed the troll
DFW,down for whatever
DG,don't go
DGOT,don't go over there
DGT,don't go there
DGTWM,don't go there with me
DHYB,don't hold your breath
DIAF,die in a fire
DIC,do I care?
DIKU or DIKY,do I know you?
DILLIC,does it look like I care?
DILLIGAD,do I look like I give a darn?
DIS,did I say
DIT,details in thread
DITD,down in the dumps
DITYID,did I tell you I’m depressed?
DIY,do it yourself
DJM,don't judge me
DK,don't know
DKDC,"don’t know, don’t care"
DKFS,don't know for sure
DKM,don't kill me
DKY,don't know yet/don’t kid yourself
DL,dead link
DL,download/down low
DLAM,don't laugh at me
DLC,downloadable content
DLS,dirty little secret
DLTBBB,don't let the bed bugs bite
DLTM,don't lie to me
DM,direct message/don’t mind/doesn’t matter
DMAF,don't make a fuss
DMAL,drop me a line
DMC,deep meaningful conversation
DMG,damage
DMI,don't mention it
DMIID,don't mind if I do
DMTA,dirty minds think alike
DMW,dead man walking
DMY,don't mess yourself
DN,doing nothing
DND,do not disturb
DNDC,"don't know, don't care"
DNF,did not finish
DNFTT,do not feed the trolls
DNK,do not know
DNM,does not matter/deep and meaningful
DNO,don't know
DNR,do not resuscitate
DNS,domain name service/did not start
DNT,don't
DNW,do not want
DOD,day of defeat
DOE,depends on experience
DOF,depth of field
DOL,dying of laughter
DOM,dirty old man
DOS,dozing off soon/Dad over shoulder/disk operating system
DOT,damage over time
DPI,dots per inch/don’t push it
DPYN,don't pick your onse
DQ,disqualified
DQMOT,don't quote me on this
DQYDJ,don't quit your day job
DR,double rainbow
DRT,dead right there
DSD,do some damage
DT,downtown
DTA,don't trust anyone
DTB,don't test back
DTC,down to cuddle
DTD,drunk till dawn/death
DTE,down to earth
DTMS,does the make sense?
DTP,disturbing the peace
DTR,define the relationship
DTRT,do the right thing
DTT,don't touch that
DTTM,don't talk to me
DTYT,don't take your time
DUCWIC,do you see what I see?
DUCY,do you see why?
DULM,do you love me?
DW,don't worry
DWAI,don't worry about it
DWB,don't write back
DWB,driving while black
DWBH,"don't worry, be happy"
DWBI,don't worry ‘bout it
DWI,deal with it
DWISNWID,"do what I say, not what I do"
DWL,dying with laughter
DWMT,don’t waste my time
DWP,drunk while posting
DWT,driving while texting
DWU,don't wait up
DYHWIH,do you hear what I hear?
DYJ,do your job
DYJHIW,don't you just have it when…?
DYK,do you know?
DYKWIM,do you know what I mean?
DYLM,do you love/like me?
DYM,do you mind?/do you mean?
DYOR,do your own research
E&OE,errors and omissions excluded
E2E,end to end; exchange to exchange; e-business to e-business; employee to employee
E2EG,ear to ear grin
EB,eyebll
EBCAK,error between chair and keyboard
EEG,extremely evil grin
EFA,edited for accuracy
EFG,epic fall guy
EG,evil grin
EI,eat it
ELE,everybody love everybody
ELOL,evil laugh out loud
EM,email
EMA,email address
EMFBI,excuse me for butting in
EML,email
EMSG,email message
EOC,end of conversation
EOD,end of discussion
EOF,end of file
EOG,end of grade
EOL,end of lecture
EOM,end of message
EOR,end of rant
EOS,enf of show
EOT,end of thread (discussion)
EOTW,end of the world
EOTWAWKI,end of the world as we know it
EQE,easy quick efficient
ESAD,eat s**t and die
ETLA,extended three-letter acronym (meaning a FLA)
ETW,enjoy the weekend
EUA,end user agreement
EUC,excellent used condition
EV,expected value
EVL,evil laugh
EWG,evil wicked grin
F@,fat
F2F,face to face
F2T,free to talk
F4E,friends forever
F8,fate
F9,fine
FAAK,falling asleep at keyboard
FAB,fabulous
FAFWOA,for a friend without access (when about to ask a silly question)
FAI,forget about it
FAO,for attention of
FAQ,frequently asked questions
FAV,favorite
FAVE,favorite
FB,Facebook
FBC,Facebook chat
FBF,Facebook friend
FBM,fine by me
FBO,Facebook official
FBTW,"fine, be that way"
FBW,fly by wire
FC,fingers crossed
FCFS,"first come, first served"
FCOL,for crying out loud
FCS,for Christ’s sake
FE,fair enough
FEAE,for ever and ever
FF,follow Friday (slang - recommendation to follow someone referenced in the tweet)
FFA,free for all
FFR,for future reference
FFS,for f**k’s sake
FGS,for God’s sake
FHE,first hand experience
FI,forget it
FIFO,"first in, first out"
FIFY,fixed it for you
FILO,"first in, last out"
FIO,figure it out
FISH,"first in, still here"
FITB,fill in the blanks
FKA,formerly know as
FL,fake laugh
FLA,four-letter acronym
FLK,funny looking kid
FMDIDGAD,"frankly my dear, I don’t give a damn"
FMI,for more information
FML,f*** my life
FMTKFYTFO,"for me to know, for you to find out"
FMTYEWTK,far more than you ever wanted to know
FMV,full motion video
FNA,for necessary action
FNB,football and beer
FNE,free and easy
FNO,from now on
FOA,first of all
FOAF,friend of a friend
FOC,free of charge
FOFL,falling on floor laughing
FOFO,.44 cal pistol
FOMCL or FOCL,falling off my chair laughing
FOMO,fear of missing out
FON,freak of nature
FOTM,flavor of the month
FP,face palm (as in putting hand over face in dismay
FR,for real
FRS,freight
FRAP,Facebook rape - vandalizing someone’s Facebook page
FSHO,for sure
FSOT,for sale or trade
FSR,for some reason
FTA,form the article
FTASB,faster than a speeding bullet
FTBOMH,from the bottom of my heart
FTF,face-to-face
FTFY,fixed that for you
FTL,for the loss/lose
FTLOG,for the love of God
FTR,for the record
FTTB,for the time being
FTW,F*** the world
FTW,for the win
FUBAR,fouled up beyond all recognition
FUD,"fear, uncertainty, and doubt"
FWD,forward
FWIW,for what it's worth
FWTD,fate worse than death
FX,effects
FYA,for your amusement
FYE,for your entertainment
FYEO,for your eyes only
FYI,for your information
FYM,free your mind
FYN,fine
FYP,fixed your post
FYR,for your review/for your records
G,grin
G2B,go to bed
G2E,got to eat
G2F,got to fly
G2G,got to go
G2G2B,got to go to bed
G2H,go to hell
G2R,got to run
G2S,go to sleep
G4U,good for you
GA,go ahead
GAC,guilty as charged/get a clue
GAFIA,get away from it all
GAFM,get away from me
GAJ,get a job
GAL,get a life
GAMMD,"go ahead, make my day"
GBFN,goodbye for now
GBH,grievous bodily harm
GBML,goodbye my love
GBNF,gone but not forgotten
GBTW,get back to work
GBU or GBY,God bless you
GCF,good clean fun
GD&R,"grinning, ducking and running"
GDAY,hi/good day
GDI,G** damn it
GE,good evening
GF,girlfriend
GFAK,go fly a kite
GFETE,grinning from ear to ear
GFI,go for it
GFN,gone for now
GFU or GFY,good for you
